C.D.S.  -  SIMBAD4 rel 1.8  -  2025.07.03CEST11:46:20

Vmag < 5 & otype = 'Star'
-------------------------

Number of objects : 1651

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
384 |* ups Oph                          |SB*|16 27 48.1733121458 -08 22 18.415622756|     ~   |4.80     |4.63     |     ~   |     ~   |kA2hA5VmA5           | 143 |   0
385 |* 2 Aur                            |RG*|04 52 37.9803457176 +36 42 11.477114460|     ~   |6.164    |4.779    |     ~   |     ~   |K3-IIIBa0.4          | 151 |   0
386 |* iot Gru                          |SB*|23 10 21.5282650093 -45 14 48.154088232|     ~   |4.877    |3.877    |     ~   |     ~   |K1III                |  80 |   0
387 |* alf Aps                          |*  |14 47 51.7110952914 -79 02 41.112796494|     ~   |5.247    |3.798    |     ~   |     ~   |K3IIICN0.5           |  70 |   0
388 |* iot Eri                          |PM*|02 40 40.0348498136 -39 51 19.355490088|     ~   |5.114    |4.116    |     ~   |     ~   |K0IIIb               |  96 |   0
389 |* kap Lib                          |PM*|15 41 56.7924203448 -19 40 43.654786104|8.24     |6.30     |4.72     |3.44     |2.50     |M0-IIIb              |  84 |   0
390 |* ups02 Eri                        |PM*|04 35 33.0379612193 -30 33 44.431333529|5.52     |4.80     |3.82     |3.07     |2.58     |G8+III               | 105 |   0
391 |* tau Lib                          |SB*|15 38 39.3694957 -29 46 39.895604      |     ~   |3.481    |3.642    |     ~   |     ~   |B2.5V                | 165 |   0
392 |* kap Gem                          |** |07 44 26.8438122013 +24 23 52.787290890|5.19     |4.49     |3.57     |2.86     |2.41     |G8III-IIIb           | 306 |   0
393 |* zet CMa                          |Ce*|06 20 18.7920398 -30 03 48.120242      |2.12     |2.82     |2.99     |     ~   |     ~   |B2.5V                | 168 |   0
394 |* ups Tau                          |dS*|04 26 18.4631232492 +22 48 48.889451555|     ~   |4.572    |4.282    |     ~   |     ~   |A8Vn                 | 184 |   0
395 |HD 161840                          |*  |17 49 10.4772059568 -31 42 11.542634590|     ~   |4.753    |4.797    |     ~   |     ~   |B8Ib/II              |  63 |   0
396 |* gam Hyi                          |PM*|03 47 14.3406632728 -74 14 20.266351287|6.87     |4.88     |3.26     |1.92     |0.82     |M1III                |  93 |   0
397 |* pi. Cas                          |SB*|00 43 28.0696827024 +47 01 28.364798856|     ~   |5.120    |4.949    |     ~   |4.79     |A5V                  |  85 |   0
398 |* N Car                            |*  |06 34 58.5799794805 -52 58 32.193408612|4.22     |4.37     |4.40     |     ~   |     ~   |A0II                 |  68 |   0
399 |* bet Ser                          |PM*|15 46 11.2551806454 +15 25 18.549468647|3.81     |3.73     |3.67     |3.61     |3.58     |A2IV                 | 185 |   0
400 |* gam Lup                          |** |15 35 08.44835 -41 10 00.3247          |1.76     |2.586    |2.765    |     ~   |     ~   |B2IV                 | 185 |   0
401 |* eps Leo                          |V* |09 45 51.0736168507 +23 46 27.313597604|4.23     |3.79     |2.98     |2.36     |1.93     |G1IIIa               | 348 |   0
402 |* del Dra                          |PM*|19 12 33.3013729052 +67 39 41.539165396|4.85     |4.07     |3.07     |2.37     |1.86     |G9III                | 291 |   0
403 |* tet Sco                          |*  |17 37 19.12985 -42 59 52.1808          |     ~   |2.29     |1.85     |     ~   |     ~   |F1III                | 132 |   0
404 |M 31                               |AGN|00 42 44.330 +41 16 07.50              |4.86     |4.36     |3.44     |     ~   |     ~   |~                    |13237|   1
405 |* zet Her                          |SB*|16 41 17.16104 +31 36 09.7873          |3.640    |3.430    |2.800    |2.31     |1.99     |G0IV                 | 554 |   0
406 |* pi. Ser                          |*  |16 02 17.6914838952 +22 48 16.029143784|     ~   |4.887    |4.817    |     ~   |     ~   |A3V                  |  96 |   0
407 |* eps Gem                          |V* |06 43 55.9271511904 +25 07 52.057892524|5.85     |4.39     |2.98     |2.01     |1.40     |G8Ib                 | 403 |   0
408 |* bet Cam                          |*  |05 03 25.0910670105 +60 26 32.083933247|5.57     |4.95     |4.02     |3.33     |2.86     |G1Ib                 | 185 |   0
409 |* 38 Lyn                           |PM*|09 18 50.6435791217 +36 48 09.345084336|     ~   |3.96     |3.92     |     ~   |3.81     |A1V                  | 147 |   0
410 |IC 2395                            |OpC|08 42 07.4 -48 05 24                   |     ~   |     ~   |4.6      |     ~   |     ~   |~                    | 109 |   1
411 |* iot Cap                          |BY*|21 22 14.7959829093 -16 50 04.358014058|5.74     |5.18     |4.27     |3.65     |3.17     |G7IIIFe-1.5          | 199 |   0
412 |* nu. For                          |a2*|02 04 29.4455576134 -29 17 48.496908718|4.01     |4.52     |4.69     |4.73     |4.87     |B9.5IIIspSi          | 151 |   0
413 |* 70 Peg                           |SB*|23 29 09.2992398120 +12 45 37.979571348|6.24     |5.50     |4.56     |3.82     |3.37     |G8IIIa               | 156 |   0
414 |* I Car                            |V* |10 24 23.7055275402 -74 01 53.799900604|4.35     |4.36     |4.01     |3.67     |3.48     |F3V                  | 135 |   0
415 |* 33 Cyg                           |PM*|20 13 23.8660633993 +56 34 03.803286781|     ~   |4.384    |4.271    |     ~   |     ~   |A3IV-Vn              |  90 |   0
416 |* bet Per                          |SB*|03 08 10.1324535 +40 57 20.328013      |1.70     |2.07     |2.12     |2.08     |2.11     |B8V                  |1245 |   1
417 |* iot Hya                          |PM*|09 39 51.3614722468 -01 08 34.118633450|6.68     |5.23     |3.91     |2.92     |2.25     |K2.5III              | 188 |   0
418 |* b Per                            |SB*|04 18 14.6214589094 +50 17 43.775037161|     ~   |4.639    |4.594    |     ~   |4.44     |A1III                | 161 |   0
419 |* alf02 Cru                        |*  |12 26 36.442 -63 05 58.28              |     ~   |1.41     |1.58     |     ~   |     ~   |B1V                  |  74 |   0
420 |* ksi01 Cet                        |SB*|02 13 00.0003185160 +08 50 48.128462340|5.86     |5.23     |4.35     |3.68     |3.18     |G7IIIBa0.4Fe-1       | 217 |   1
421 |* 1 Peg                            |PM*|21 22 05.1994953807 +19 48 16.237518964|6.25     |5.20     |4.09     |3.30     |2.76     |K1III                | 188 |   0
422 |NGC 104                            |GlC|00 24 05.359 -72 04 53.20              |     ~   |     ~   |4.09     |     ~   |     ~   |~                    |4072 |   0
423 |* p Vel                            |SB*|10 37 18.1504398154 -48 13 32.398269222|4.19     |4.13     |3.84     |3.57     |3.41     |kA5hF0VpSr           | 130 |   0
424 |* eps Cyg                          |** |20 46 12.6722768426 +33 58 13.182037125|4.370    |3.520    |2.480    |1.73     |1.19     |K0III                | 516 |   0
425 |* 109 Vir                          |PM*|14 46 14.9234473441 +01 53 34.381780831|3.69     |3.72     |3.73     |3.66     |3.68     |A0IIInn              | 341 |   0
426 |* psi Per                          |Be*|03 36 29.3797327450 +48 11 33.484405927|3.60     |4.17     |4.23     |     ~   |     ~   |B5Ve                 | 423 |   0
427 |* psi01 Dra                        |** |17 41 57.0 +72 09 10                   |5.02     |5.01     |4.58     |4.20     |3.97     |~                    |  23 |   0
428 |* phi UMa                          |** |09 52 06.35437 +54 03 51.5962          |     ~   |4.602    |4.557    |     ~   |     ~   |A3IV                 | 157 |   0
429 |* g Sgr                            |PM*|19 57 57.0294583872 -15 29 29.285348568|     ~   |5.058    |4.998    |     ~   |     ~   |A2V                  |  77 |   0
430 |* 20 Pup                           |*  |08 13 19.9671571968 -15 47 17.608829604|6.84     |6.06     |4.99     |     ~   |     ~   |G4Ib-II              |  88 |   0
431 |* alf Cir                          |a2*|14 42 30.4206520931 -64 58 30.478845491|3.55     |3.43     |3.19     |2.96     |2.86     |A7VpSrCrEu           | 379 |   0
432 |* eta Oph                          |** |17 10 22.68689 -15 43 29.6639          |2.56     |2.47     |2.42     |2.39     |2.38     |A2IV-V               | 270 |   0
433 |* gam Hya                          |SB*|13 18 55.2976891983 -23 10 17.450424894|4.58     |3.92     |3.00     |2.40     |1.93     |G8IIIa               | 188 |   0
434 |* ksi And                          |*  |01 22 20.4200755704 +45 31 43.596248844|     ~   |5.951    |4.868    |     ~   |     ~   |K0-IIIb              | 138 |   0
435 |HD 37756                           |SB*|05 40 50.7155671106 -01 07 43.635084978|3.91     |4.74     |4.95     |     ~   |     ~   |B3V                  | 145 |   0
436 |* x Vel                            |*  |10 39 18.3925392553 -55 36 11.764722297|     ~   |5.280    |4.267    |     ~   |     ~   |G5IIa                |  72 |   0
437 |* g Vel                            |*  |08 49 47.6382779760 -45 18 28.346215644|     ~   |4.972    |4.935    |     ~   |     ~   |A2III                |  37 |   0
438 |* G CMi                            |PM*|08 02 15.9369212008 +02 20 04.458846354|6.91     |5.63     |4.38     |3.39     |2.72     |K2IIIbFe-0.5:        | 200 |   1
439 |* tau03 Eri                        |PM*|03 02 23.4993592222 -23 37 28.098204536|4.33     |4.25     |4.09     |3.96     |3.87     |A3IV-V               | 165 |   0
440 |* 15 CMa                           |bC*|06 53 32.9069226414 -20 13 27.309395177|3.66     |4.62     |4.83     |4.95     |5.17     |B1IV                 | 213 |   0
441 |* rho UMa                          |V* |09 02 32.6914772184 +67 37 46.622818272|8.17     |6.29     |4.76     |3.29     |2.03     |M3IIICa1             |  97 |   0
442 |* gam Vir B                        |Pe*|12 41 39.5425844770 -01 26 57.847656959|     ~   |3.85     |3.49     |     ~   |     ~   |F0mF2V               | 228 |   0
443 |* bet And                          |PM*|01 09 43.92388 +35 37 14.0075          |5.58     |3.62     |2.05     |0.81     |-0.19    |M0+IIIa              | 567 |   1
444 |* eps Peg                          |LP*|21 44 11.1561394 +09 52 30.031152      |5.61     |3.91     |2.39     |1.34     |0.58     |K2Ib-II              | 458 |   1
445 |* tet CrA                          |*  |18 33 30.1857736368 -42 18 45.029663136|     ~   |5.618    |4.614    |     ~   |     ~   |G8III                |  40 |   0
446 |* 2 Cet                            |*  |00 03 44.3878310010 -17 20 09.569194312|4.4      |4.483    |4.536    |     ~   |4.58     |B9IVn                | 120 |   0
447 |* 104 Her                          |V* |18 11 54.1566238248 +31 24 19.256317416|8.56     |6.62     |4.97     |     ~   |     ~   |M3III                | 125 |   0
448 |* kap Lup                          |Be*|15 11 56.0732718648 -48 44 16.169955108|3.55     |3.67     |3.70     |3.75     |3.76     |B9.5Vne              | 103 |   0
449 |* kap Peg                          |** |21 44 38.73522 +25 38 42.1359          |     ~   |4.553    |4.135    |     ~   |     ~   |F5V                  | 248 |   1
450 |* del Col                          |SB*|06 22 06.8249488320 -33 26 11.036211216|5.25     |4.73     |3.85     |3.18     |2.71     |G7II                 |  86 |   0
451 |* chi Vir                          |** |12 39 14.7669620640 -07 59 44.033845848|     ~   |5.886    |4.643    |6.45     |     ~   |K2+IIICN0.5          | 157 |   1
452 |* nu. Cap                          |*  |20 20 39.8157949497 -12 45 32.690284207|4.61     |4.72     |4.76     |4.75     |4.81     |B9IV                 | 276 |   0
453 |* tau08 Eri                        |SB*|03 53 42.7023562560 -24 36 44.021417544|     ~   |4.496    |4.623    |     ~   |     ~   |B6V                  | 120 |   0
454 |* alf Sco                          |s*r|16 29 24.45970 -26 25 55.2094          |4.08     |2.75     |0.91     |-0.64    |-1.87    |M1.5Iab+B2Vn         | 770 |   0
455 |* alf Lyn                          |PM*|09 21 03.3002104870 +34 23 33.213441656|6.63     |4.69     |3.14     |1.91     |1.01     |K6III                | 217 |   0
456 |* iot Dra                          |V* |15 24 55.7738042889 +58 57 57.837111857|5.68     |4.45     |3.29     |2.51     |1.91     |K2III                | 423 |   1
457 |* ome Her                          |a2*|16 25 24.9546742056 +14 01 59.762072676|4.53     |4.57     |4.58     |4.51     |4.55     |A2VpCrSr             | 240 |   0
458 |* eps Ari                          |** |02 59 12.72536 +21 20 25.5575          |4.75     |4.67     |4.63     |4.58     |4.56     |A2IV+A3IVs           |  45 |   0
459 |* alf Pav                          |SB*|20 25 38.85705 -56 44 06.3230          |1.03     |1.791    |1.918    |     ~   |     ~   |B2IV                 | 281 |   1
460 |* zet Cyg                          |SB*|21 12 56.1859894833 +30 13 36.835250232|4.96     |4.20     |3.21     |2.52     |2.04     |G8+III-IIIaBa0.5     | 349 |   0
461 |* f Pup                            |** |07 37 22.10978 -34 58 06.7109          |4.13     |4.44     |4.53     |4.55     |4.62     |B8IV/V               |  66 |   0
462 |V* T Cyg                           |LP?|20 47 10.7523451296 +34 22 26.841017100|     ~   |6.224    |4.930    |5.33     |     ~   |K3III                |  77 |   0
463 |* psi02 Lup                        |SB*|15 42 41.0197420380 -34 42 37.467073334|4.08     |4.576    |4.721    |     ~   |     ~   |B5V                  | 118 |   0
464 |* 17 Tau                           |Be*|03 44 52.5370897890 +24 06 48.016260072|3.19     |3.59     |3.70     |3.71     |3.80     |B6IIIe               | 406 |   1
465 |* l Vel                            |PM*|09 15 36.7081382568 -38 34 11.794659636|7.11     |6.05     |4.94     |4.15     |3.58     |K1III                |  47 |   0
466 |* 110 Vir                          |PM*|15 02 54.0375635908 +02 05 28.695699730|6.31     |5.44     |4.40     |3.59     |3.05     |K0+IIIbFe-0.5        | 131 |   0
467 |* eta Crv                          |PM*|12 32 04.2264018482 -16 11 45.618615379|     ~   |4.658    |4.294    |     ~   |     ~   |F2V                  | 336 |   0
468 |* gam Boo                          |dS*|14 32 04.6716795181 +38 18 29.693088076|3.33     |3.21     |3.02     |2.88     |2.80     |A7IV+(n)             | 262 |   0
469 |[SC96] Mis 162                     |*  |16 52 00.0 -38 02 00                   |     ~   |     ~   |2.51     |     ~   |     ~   |~                    |   1 |   0
470 |V* AW CVn                          |LP?|13 51 47.4749903810 +34 26 39.265009533|8.36     |6.40     |4.74     |3.21     |1.93     |M3-IIIa              | 122 |   0
471 |* alf Gem B                        |SB*|07 34 36.100452 +31 53 18.57117        |     ~   |     ~   |3.0      |     ~   |     ~   |kA0hA2:mA1IVs        | 292 |   0
472 |* pi. Per                          |*  |02 58 45.6701619312 +39 39 45.815580720|4.88     |4.76     |4.70     |4.60     |4.56     |A2Vn                 |  85 |   0
473 |* u Car                            |PM*|10 53 29.6561115087 -58 51 11.413331344|5.39     |4.74     |3.79     |3.07     |2.57     |K0IV                 | 100 |   0
474 |V* RR UMi                          |LP*|14 57 35.0095879431 +65 55 56.814643584|7.86     |6.19     |4.54     |2.69     |0.97     |M4.5III              | 191 |   0
475 |* lam Vel                          |s*r|09 07 59.75787 -43 25 57.3273          |5.67     |3.86     |2.21     |0.97     |0.03     |K4Ib                 | 226 |   0
476 |* del Cru                          |Pu*|12 15 08.7184790676 -58 44 56.126676618|1.63     |2.568    |2.752    |     ~   |     ~   |B2IV                 | 219 |   1
477 |* zet Gru                          |PM*|23 00 52.8075557832 -52 45 14.799088368|     ~   |5.086    |4.115    |     ~   |     ~   |K1IIIFe-1.2CN-0.5    |  59 |   0
478 |* 61 Vir                           |PM*|13 18 24.3139864471 -18 18 40.297748582|5.710    |5.440    |4.740    |     ~   |     ~   |G6.5V                | 716 |   1
479 |* bet02 Sgr                        |PM*|19 23 13.1375641478 -44 47 59.203680325|     ~   |4.601    |4.270    |     ~   |     ~   |F2/3V                |  52 |   0
480 |* tet Ind                          |** |21 19 51.9894566760 -53 26 57.933870576|     ~   |4.641    |4.483    |5.82     |     ~   |A5IV-V               |  89 |   0
481 |* pi. Cep                          |** |23 07 53.85377 +75 23 14.9951          |5.67     |5.21     |4.41     |     ~   |     ~   |G3III+F3V            | 182 |   0
482 |* gam Cen B                        |PM*|12 41 31.015370 -48 57 34.47666        |     ~   |2.91     |2.88     |     ~   |     ~   |A0IV                 |   2 |   0
483 |* phi Tau                          |PM*|04 20 21.2160972528 +27 21 02.708298576|     ~   |6.098    |4.951    |     ~   |     ~   |K2III                |  87 |   0
484 |* 10 Tau                           |PM*|03 36 52.3837044168 +00 24 05.992097829|5.23     |5.15     |4.30     |4.09     |3.77     |F9IV-V               | 580 |   0
485 |* tau Boo                          |PM*|13 47 15.7381720026 +17 27 24.809555600|5.02     |4.98     |4.49     |4.09     |3.85     |F7IV-V               |1025 |   1
486 |* 93 Leo                           |RS*|11 47 59.13595 +20 13 08.1500          |     ~   |5.07     |4.52     |     ~   |     ~   |F8III+A6III          | 226 |   0
487 |* alf Com                          |** |13 09 59.28520 +17 31 46.0389          |4.71     |4.77     |4.32     |4.1      |     ~   |F5V+F6V              | 209 |   0
488 |* 9 Peg                            |V* |21 44 30.6958020785 +17 21 00.062899998|6.48     |5.52     |4.35     |3.53     |2.98     |G5Ib                 | 271 |   0
489 |* P Cyg                            |s*b|20 17 47.2019733389 +38 01 58.549132671|4.66     |5.24     |4.82     |4.28     |4.02     |B1-2Ia-0ep           |1189 |   1
490 |* alf Peg                          |PM*|23 04 45.65345 +15 12 18.9617          |2.38     |2.44     |2.48     |2.47     |2.50     |A0IV                 | 361 |   0
491 |* tet Aqr                          |PM*|22 16 50.0366846016 -07 46 59.839473115|5.95     |5.15     |4.16     |3.46     |2.98     |G9II                 | 145 |   0
492 |* gam Tri                          |PM*|02 17 18.8672733581 +33 50 49.908545398|     ~   |4.02     |4.00     |     ~   |4.05     |A1Vnn                | 205 |   0
493 |* alf Gem A                        |SB*|07 34 35.862828 +31 53 17.79429        |     ~   |     ~   |1.9      |     ~   |     ~   |A1.5IV+              | 393 |   0
494 |* rho Ser                          |PM*|15 51 15.9092751251 +20 58 40.513558638|8.20     |6.32     |4.78     |3.56     |2.71     |K4.5III              |  90 |   0
495 |* sig Lib                          |Mi*|15 04 04.2148093680 -25 16 55.090486596|6.86     |4.91     |3.21     |1.60     |0.33     |M2.5III              | 191 |   0
496 |* lam Cyg                          |** |20 47 24.53766 +36 29 26.5737          |3.93     |4.43     |4.54     |4.58     |4.69     |B5V                  | 311 |   0
497 |HD 125628                          |*  |14 22 37.0730099 -58 27 32.819332      |     ~   |5.79     |4.94     |     ~   |     ~   |G9III                |  37 |   0
498 |HD 20336                           |Be*|03 19 59.2693390128 +65 39 08.285606820|3.93     |4.70     |4.85     |4.88     |5.01     |B2.5Vn(e)            | 223 |   0
499 |* eta Lyr                          |SB*|19 13 45.4884201191 +39 08 45.477640475|3.58     |4.243    |4.398    |     ~   |     ~   |B6                   | 161 |   0
500 |* rho Cap A                        |*  |20 28 51.6147879600 -17 48 49.259083644|     ~   |5.26     |4.93     |     ~   |     ~   |~                    |   7 |   0
501 |* chi Dra                          |SB*|18 21 03.38255 +72 43 58.2518          |4.010    |4.070    |3.580    |3.14     |2.83     |F7V                  | 414 |   1
502 |* chi Leo                          |PM*|11 05 01.0278085241 +07 20 09.624129314|     ~   |4.94     |4.62     |4.4      |     ~   |F2III                | 115 |   0
503 |* chi02 Ori                        |s*b|06 03 55.1843706432 +20 08 18.428141364|4.24     |4.91     |4.63     |4.32     |4.10     |B2Ia                 | 459 |   0
504 |* nu. Aur                          |*  |05 51 29.3694581040 +39 08 54.686085540|6.160    |5.090    |3.950    |3.15     |2.59     |K0.5IIICN0.5         | 203 |   0
505 |* alf Per                          |V* |03 24 19.3700924 +49 51 40.245455      |2.64     |2.27     |1.79     |     ~   |     ~   |F5Ib                 | 860 |   1
506 |* 9 Cep                            |s*b|21 37 55.2241394424 +62 04 54.990376788|4.49     |5.03     |4.73     |4.42     |4.24     |B2Ib                 | 307 |   0
507 |* alf Lup                          |bC*|14 41 55.7557866 -47 23 17.515486      |1.22     |2.126    |2.286    |     ~   |     ~   |B1.5III              | 244 |   0
508 |* mu.01 Cyg                        |PM*|21 44 08.5783311997 +28 44 33.467502529|5.01     |5.14     |4.70     |4.13     |3.85     |F7V                  | 166 |   0
509 |BD+09 2882                         |** |14 23 22.69526 +08 26 47.8351          |4.89     |4.92     |4.87     |     ~   |     ~   |~                    | 112 |   0
510 |* kap Nor                          |*  |16 13 28.7300726256 -54 37 49.683051444|6.79     |5.98     |4.94     |     ~   |     ~   |G8III                |  32 |   0
511 |* 1 Cas                            |*  |23 06 36.8177774777 +59 25 11.135356051|3.93     |4.771    |4.840    |     ~   |     ~   |B0.5III              | 249 |   0
512 |* lam Pav                          |Be*|18 52 13.0338312065 -62 11 15.327318320|3.19     |4.048    |4.207    |     ~   |     ~   |B2Ve                 | 154 |   0
513 |* gam Psc                          |PM*|23 17 09.9371132484 +03 16 56.245688417|5.20     |4.62     |3.70     |2.98     |2.47     |G9III:Fe-2           | 275 |   0
514 |* 110 Her                          |PM*|18 45 39.7256792847 +20 32 46.713086264|4.66     |4.65     |4.19     |3.80     |3.54     |F5.5IV-V             | 421 |   0
515 |V* U Hya                           |C* |10 37 33.2729535 -13 23 04.352923      |13.29    |7.51     |4.82     |3.05     |1.78     |C-N5                 | 310 |   0
516 |* chi Her                          |PM*|15 52 40.5410491705 +42 27 05.462878877|5.19     |5.19     |4.62     |4.14     |3.82     |F8VFe-2Hdel-1        | 518 |   0
517 |* eta Ori                          |bC*|05 24 28.61672 -02 23 49.7311          |2.25     |3.18     |3.35     |3.44     |3.65     |B1V+B2:              | 410 |   0
518 |* tau Cyg                          |dS*|21 14 47.49252 +38 02 43.1441          |4.140    |4.120    |3.730    |3.38     |3.14     |F2IV                 | 287 |   0
519 |* e02 Car                          |** |08 35 19.7051171712 -58 00 33.252679512|     ~   |5.845    |4.847    |     ~   |     ~   |K0III                |  26 |   0
520 |* sig Oph                          |V* |17 26 30.8807335272 +04 08 25.293765444|7.39     |5.82     |4.31     |3.22     |2.46     |K2II                 | 180 |   0
521 |* gam Mus                          |SB*|12 32 28.0129260853 -72 07 58.763241944|3.12     |3.73     |3.88     |3.91     |4.08     |B5V+A:               | 152 |   0
522 |* 31 Leo                           |PM*|10 07 54.2701166766 +09 59 51.024749763|7.57     |5.82     |4.38     |3.26     |2.49     |K3.5IIIbFe-1:        | 147 |   0
523 |* D01 Car                          |Pu*|08 00 19.9657868626 -63 34 02.837398352|4.03     |4.639    |4.806    |     ~   |     ~   |B4V                  |  77 |   0
524 |* ups01 Pup                        |Be*|07 18 18.3935775563 -36 44 02.228526718|3.78     |4.57     |4.67     |4.57     |4.62     |B2V+B3IVne           | 159 |   0
525 |* eta Ori B                        |*  |05 24 28.7310201583 -02 23 49.311454080|     ~   |4.75     |4.89     |     ~   |     ~   |B2:                  |   6 |   0
526 |* alf Boo                          |RG*|14 15 39.67207 +19 10 56.6730          |2.46     |1.18     |-0.05    |-1.03    |-1.68    |K1.5IIIFe-0.5        |2380 |   1
527 |* c Vir                            |RG*|12 20 20.9813922197 +03 18 45.255217001|7.27     |6.12     |4.96     |4.07     |3.46     |K0.5IIIbFe-0.5       | 370 |   0
528 |* 3 Cet                            |s*r|00 04 30.1187522978 -10 30 34.278904524|     ~   |6.541    |4.924    |     ~   |     ~   |K3Ib                 | 115 |   0
529 |* 119 Tau                          |s*r|05 32 12.7516308641 +18 35 39.251766506|8.63     |6.41     |4.33     |2.55     |1.13     |M2Iab-Ib             | 286 |   0
530 |* eps Tau                          |** |04 28 37.0002551195 +19 10 49.563140930|5.42     |4.54     |3.53     |     ~   |     ~   |G9.5IIICN0.5         | 617 |   1
531 |* eta Her                          |PM*|16 42 53.7649454572 +38 55 20.117710727|5.03     |4.42     |3.50     |2.83     |2.35     |G7IIIFe-1            | 293 |   0
532 |* f01 Ori                          |Be*|06 12 03.2799360825 +16 07 49.453623814|4.21     |4.80     |4.92     |4.94     |5.08     |B5Vn                 | 127 |   0
533 |* del Del                          |dS*|20 43 27.5335534492 +15 04 28.483265446|     ~   |4.701    |4.417    |     ~   |     ~   |kA7hF1VmF1pSrEuCr:   | 224 |   0
534 |* ksi UMa A                        |SB*|11 18 10.901164 +31 31 44.97910        |     ~   |4.79     |4.25     |     ~   |     ~   |F8.5:V               | 317 |   1
535 |V* AR Cas                          |SB*|23 30 01.9406369832 +58 32 56.112185112|4.18     |4.760    |4.886    |     ~   |     ~   |B3V                  | 218 |   0
536 |* Q Vel                            |Pu*|10 08 56.2396079418 -51 48 40.542321721|3.99     |4.711    |4.845    |     ~   |     ~   |B3III/IV             |  51 |   0
537 |* a Hya                            |PM*|08 40 01.4714407944 -12 28 31.349024832|     ~   |6.397    |4.969    |     ~   |     ~   |K3III                |  71 |   0
538 |* c Car                            |PM*|08 55 02.8480985300 -60 38 40.594250640|3.28     |3.74     |3.80     |     ~   |     ~   |B8II-III             |  81 |   0
539 |* del Oct                          |PM*|14 26 55.2321101608 -83 40 04.385028491|     ~   |5.615    |4.304    |     ~   |     ~   |K2III                |  46 |   0
540 |* nu. And                          |SB*|00 49 48.8463243776 +41 04 44.079221948|3.80     |4.38     |4.53     |4.56     |4.71     |B5V                  | 225 |   0
541 |* gam Per                          |SB*|03 04 47.8201112829 +53 30 23.262605954|4.08     |3.63     |2.93     |2.34     |1.89     |G9III+A2-III:        | 221 |   0
542 |* mu. PsA                          |PM*|22 08 23.0113421424 -32 59 18.491668224|4.60     |4.55     |4.50     |4.43     |4.38     |A1.5IVn              | 130 |   0
543 |* eps01 Ara                        |*  |16 59 35.0481165077 -53 09 37.576327871|     ~   |5.489    |4.050    |     ~   |     ~   |K3III                |  55 |   0
544 |* mu. UMa                          |SB*|10 22 19.7276765267 +41 29 58.337745272|6.53     |4.64     |3.05     |1.76     |0.80     |M0III                | 321 |   0
545 |* omi Cep A                        |PM*|23 18 37.4925456672 +68 06 41.197091436|     ~   |5.77     |4.87     |     ~   |     ~   |~                    |   0 |   0
546 |* del CrB                          |RS*|15 49 35.6469970632 +26 04 06.214310112|5.80     |5.43     |4.63     |4.00     |3.58     |G5III-IVFe-1         | 210 |   0
547 |* tau Tau                          |SB*|04 42 14.6992451952 +22 57 24.850133388|     ~   |4.138    |4.258    |     ~   |     ~   |B3V                  | 198 |   0
548 |* bet Vir                          |PM*|11 50 41.7185158616 +01 45 53.001539131|4.26     |4.15     |3.60     |3.13     |2.85     |F9V                  | 955 |   0
549 |* 70 Vir                           |PM*|13 28 25.8085908881 +13 46 43.638308807|5.930    |5.680    |4.970    |4.37     |3.98     |G4Va                 | 732 |   1
550 |* ups Aur                          |PM*|05 51 02.4372885624 +37 18 20.050901892|8.29     |6.36     |4.74     |3.38     |2.31     |M0III                |  80 |   0
551 |* i Cen                            |SB*|13 45 41.2439386102 -33 02 37.381099823|4.61     |4.61     |4.23     |3.90     |3.69     |F2V                  | 170 |   0
552 |* zet Cep                          |s*r|22 10 51.2777055617 +58 12 04.542602641|6.62     |4.90     |3.35     |2.27     |1.49     |K1.5Ib               | 289 |   0
553 |* eps CMa                          |*  |06 58 37.54876 -28 58 19.5102          |0.36     |1.29     |1.50     |1.59     |1.80     |B1.5II               | 508 |   0
554 |V* V415 Car                        |SB*|06 49 51.3137388874 -53 37 20.821466291|     ~   |5.323    |4.408    |     ~   |     ~   |G4II                 |  82 |   0
555 |* kap Pav                          |WV*|18 56 57.0289935240 -67 14 00.581211276|     ~   |5.08     |4.40     |     ~   |     ~   |G5Iab/b              | 134 |   0
556 |* bet Cir                          |PM*|15 17 30.8494520580 -58 48 04.345266926|     ~   |4.153    |4.057    |     ~   |     ~   |A3Va                 | 133 |   0
557 |* alf Ori                          |s*r|05 55 10.30536 +07 24 25.4304          |4.38     |2.27     |0.42     |-1.17    |-2.45    |M1-M2Ia-Iab          |1743 |   0
558 |* del Psc                          |PM*|00 48 40.9443145328 +07 35 06.294902124|7.83     |5.95     |4.44     |3.27     |2.40     |K5-III               | 194 |   0
559 |* 15 Lac                           |PM*|22 52 02.0338554336 +43 18 44.701857216|     ~   |6.497    |4.938    |     ~   |     ~   |M1III                |  49 |   0
560 |* ome01 Cyg                        |Pu*|20 30 03.5409459288 +48 57 05.640569208|4.23     |4.835    |4.936    |     ~   |     ~   |B2.5IV               | 114 |   1
561 |* lam Oph A                        |PM*|16 30 54.8188253125 +01 59 02.058484706|     ~   |4.18     |4.15     |     ~   |     ~   |A0V                  |   9 |   0
