C.D.S.  -  SIMBAD4 rel 1.8  -  2025.07.03CEST11:46:20

Vmag < 5 & otype = 'Star'
-------------------------

Number of objects : 1651

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
39  |* ups Peg                          |PM*|23 25 22.7828725585 +23 24 14.762916815|5.15     |5.01     |4.40     |3.86     |3.54     |F8III                | 260 |   0
40  |* eta Peg                          |SB*|22 43 00.1288449480 +30 13 16.372969392|4.38     |3.81     |2.95     |2.31     |1.83     |G8II+F0V             | 204 |   0
41  |* mu. Gem                          |LP*|06 22 57.62686 +22 30 48.8979          |6.37     |4.51     |2.87     |1.30     |-0.08    |M3IIIab              | 386 |   1
42  |* 39 Cyg                           |SB*|20 23 51.6137972268 +32 11 24.481643174|7.27     |5.77     |4.44     |3.43     |2.76     |K2.5IIIFe-0.5        | 143 |   0
43  |* eps CrA                          |SB*|18 58 43.3827144528 -37 06 26.380732536|     ~   |5.24     |4.85     |     ~   |     ~   |F4VFe-0.8+           | 218 |   0
44  |* psi Cen                          |PM*|14 20 33.4323959808 -37 53 07.051432557|3.91     |4.006    |4.034    |6.13     |8.45     |A0IV                 | 110 |   0
45  |* 36 Dor                           |PM*|05 54 06.0545851778 -63 05 23.209034464|     ~   |5.70     |4.66     |     ~   |     ~   |K2III-IV             | 111 |   0
46  |* c02 Aqr                          |PM*|23 09 26.7960449399 -21 10 20.694738029|6.09     |4.87     |3.64     |2.80     |2.20     |K1.5III              | 105 |   0
47  |* f Eri A                          |PM*|03 48 35.8740192312 -37 37 12.515849544|     ~   |4.70     |4.72     |     ~   |     ~   |B9.5Van              |  44 |   0
48  |* 30 Oph                           |PM*|17 01 03.6017776608 -04 13 21.517847868|     ~   |6.302    |4.812    |     ~   |     ~   |K4III                |  87 |   0
49  |* bet CrA                          |*  |19 10 01.7567255066 -39 20 26.853667665|     ~   |5.281    |4.095    |     ~   |     ~   |K0II/IIICNIb         |  61 |   0
50  |* o Per                            |*  |03 42 22.6459308614 +33 57 54.093701142|4.13     |4.912    |4.972    |     ~   |     ~   |B0.5V                | 310 |   0
51  |* del Tuc                          |** |22 27 19.9630746912 -64 57 58.896740736|     ~   |4.48     |4.49     |6.29     |     ~   |B9Vn                 |  72 |   0
52  |HD 98993                           |*  |11 23 12.6876726096 -36 09 53.176171464|     ~   |6.441    |4.991    |     ~   |     ~   |K4III                |  28 |   0
53  |* b Vel                            |V* |08 40 37.5712078616 -46 38 55.464392884|4.86     |4.52     |3.81     |3.16     |2.62     |F0Ia                 | 140 |   0
54  |* 136 Tau                          |SB*|05 53 19.6462510620 +27 36 44.142990481|     ~   |4.539    |4.552    |     ~   |     ~   |A0V+A0V              |  89 |   0
55  |* pi. And                          |SB*|00 36 52.8513216207 +33 43 09.636294654|3.65     |4.20     |4.36     |4.40     |4.52     |B5V                  | 206 |   0
56  |* ksi CrB                          |** |16 22 05.8238662920 +30 53 31.185448080|     ~   |5.833    |4.849    |     ~   |     ~   |G9IIIFe-0.5          | 133 |   0
57  |* del Oph                          |PM*|16 14 20.7390218758 -03 41 39.572826363|6.30     |4.34     |2.75     |1.46     |0.43     |M0.5III              | 372 |   0
58  |* eps Lib                          |SB*|15 24 11.8837924176 -10 19 20.203874400|     ~   |5.358    |4.920    |     ~   |     ~   |F4V                  | 153 |   0
59  |* tet02 Cru                        |SB*|12 04 19.2200768232 -63 09 56.516665140|4.02     |4.613    |4.716    |     ~   |     ~   |B3V                  | 104 |   0
60  |* iot UMa                          |** |08 59 12.45362 +48 02 30.5741          |3.40     |3.33     |3.14     |2.92     |2.85     |A6                   | 304 |   0
61  |* eta And                          |SB*|00 57 12.4002792266 +23 25 03.540083245|6.05     |5.36     |4.42     |3.69     |3.21     |G8-III               | 195 |   0
62  |* ksi02 Cet                        |*  |02 28 09.5570589539 +08 27 36.216809306|4.14     |4.25     |4.30     |4.29     |4.34     |B9III                | 346 |   0
63  |* zet Ori A                        |SB*|05 40 45.527143 -01 56 33.26036        |     ~   |1.79     |1.90     |     ~   |     ~   |O9.2IbvarNwk         | 671 |   0
64  |* eta Gru                          |*  |22 45 37.8819435648 -53 30 00.431531820|     ~   |6.019    |4.846    |     ~   |     ~   |K2IIICNIV            |  23 |   0
65  |* tau CMa                          |SB*|07 18 42.4849951654 -24 57 15.700749738|3.26     |4.25     |4.40     |4.44     |4.62     |O9II                 | 432 |   0
66  |* c Sgr                            |LP*|20 02 39.4805073281 -27 42 35.439647267|8.03     |6.23     |4.58     |2.71     |1.15     |M4.5III              |  77 |   0
67  |* eta Lep                          |PM*|05 56 24.2934904501 -14 10 03.718335613|4.05     |4.05     |3.72     |3.39     |3.23     |F2V                  | 348 |   0
68  |* 67 Oph                           |s*b|18 00 38.7157893000 +02 55 53.633402904|3.34     |3.96     |3.93     |3.84     |3.81     |B4Ib-II              | 418 |   0
69  |* alf Cas                          |PM*|00 40 30.4430418459 +56 32 14.385181354|4.52     |3.40     |2.23     |1.45     |0.85     |K0-IIIa              | 345 |   0
70  |* ksi Cas                          |SB*|00 42 03.8922075864 +50 30 45.120403944|4.05     |4.71     |4.81     |4.82     |4.94     |B3IV                 | 146 |   0
71  |HD 20644                           |*  |03 20 20.3620712067 +29 02 54.447584385|7.81     |6.02     |4.47     |3.27     |2.39     |K3IIIaBa0.5          | 133 |   0
72  |* alf02 CVn                        |a2*|12 56 01.6655889007 +38 19 06.155170512|2.44     |2.76     |2.88     |2.98     |3.05     |A0VpSiEu             | 698 |   0
73  |* bet Pyx                          |*  |08 40 06.1432829632 -35 18 30.078413177|     ~   |4.885    |3.954    |     ~   |     ~   |G5II/III             |  80 |   0
74  |* alf Eri                          |Be*|01 37 42.84548 -57 14 12.3101          |-0.36    |0.30     |0.46     |0.49     |0.60     |B6Vpe                | 488 |   1
75  |* bet Hyi                          |PM*|00 25 45.07036 -77 15 15.2860          |3.52     |3.41     |2.79     |2.28     |1.94     |G0V                  | 617 |   0
76  |* rho Ori                          |SB*|05 13 17.4794093232 +02 51 40.461146748|6.76     |5.72     |4.48     |3.59     |2.99     |K1III                | 113 |   0
77  |* rho Cet                          |*  |02 25 57.0058454304 -12 17 25.707504156|     ~   |4.841    |4.866    |     ~   |     ~   |A0V                  | 115 |   0
78  |* lam Vir                          |SB*|14 19 06.5926692303 -13 22 15.928662088|4.750    |4.660    |4.520    |     ~   |4.43     |A1V                  | 154 |   0
79  |* omi Gem                          |PM*|07 39 09.9346623336 +34 35 03.502791096|5.41     |5.30     |4.90     |4.51     |4.29     |F5-6IV               | 110 |   0
80  |* ups Cep                          |SB*|20 45 21.1292603297 +57 34 46.979464242|     ~   |5.05     |4.51     |     ~   |     ~   |F8IV-V+F9IV-V        | 179 |   0
81  |* lam Ser                          |PM*|15 46 26.6142121632 +07 21 11.047378824|5.13     |5.03     |4.42     |3.92     |3.60     |G0-V                 | 597 |   0
82  |* bet Ara                          |s*r|17 25 17.9878053183 -55 31 47.574076000|5.87     |4.31     |2.85     |     ~   |     ~   |K0/1Ib               | 136 |   0
83  |* eps Car A                        |*  |08 22 30.833784 -59 30 34.13052        |     ~   |3.86     |2.01     |     ~   |     ~   |K3:III               |   7 |   0
84  |* iot Ori                          |SB*|05 35 25.9861932063 -05 54 35.598684624|1.45     |2.53     |2.77     |     ~   |     ~   |O9IIIvar             | 788 |   0
85  |* eps Crv                          |PM*|12 10 07.4805825 -22 37 11.161983      |5.79     |4.32     |2.98     |2.05     |1.41     |K2+IIIa              | 154 |   0
86  |* psi02 Aqr                        |Be*|23 17 54.2137206 -09 10 57.067524      |3.72     |4.26     |4.40     |4.47     |4.60     |B5V                  | 154 |   0
87  |* bet Cru                          |bC*|12 47 43.26877 -59 41 19.5792          |0.03     |1.02     |1.25     |1.38     |1.64     |B1IV                 | 355 |   1
88  |* ksi02 CMa                        |*  |06 35 03.3875525904 -22 57 53.263500084|     ~   |4.49     |4.50     |     ~   |     ~   |A0III                |  72 |   0
89  |* 27 CMa                           |Be*|07 14 15.2117197408 -26 21 09.028965559|3.76     |4.45     |4.65     |4.64     |4.73     |B4Ve_sh              | 238 |   0
90  |* eps Lup                          |bC*|15 22 40.8682566 -44 41 22.614637      |2.46     |3.191    |3.366    |     ~   |     ~   |B3IV+B3:V            | 190 |   0
91  |* omi Lup                          |** |14 51 38.3028905 -43 34 31.296546      |3.59     |4.164    |4.313    |     ~   |     ~   |B5IV                 | 122 |   0
