C.D.S.  -  SIMBAD4 rel 1.8  -  2025.07.03CEST11:55:02

Vmag < 6 & otype = 'Star'
-------------------------

Number of objects : 5066

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|---------|---------|---------|---------|---------|---------------------|-----|----
1105|* 51 Gem                           |LP*|07 13 22.2758350560 +16 09 32.271188148|8.48     |6.66     |5.00     |     ~   |     ~   |M4III                | 102 |   0
1106|* 1 Cam                            |** |04 32 01.84227 +53 54 39.0450          |6.41     |5.876    |5.772    |     ~   |     ~   |B0III+B0IV/V         | 107 |   0
1107|* ups Gem                          |PM*|07 35 55.3500141720 +26 53 44.680194960|7.54     |5.60     |4.06     |2.82     |1.91     |M0III                | 210 |   0
1108|* 71 Oph                           |*  |18 07 18.3593981592 +08 44 01.922061912|     ~   |5.592    |4.640    |     ~   |     ~   |G8III                | 178 |   0
1109|* 4 Cam                            |** |04 48 00.2729226024 +56 45 25.836947712|     ~   |5.519    |5.275    |5.1      |5.08     |A3m                  |  84 |   0
1110|HD 129954                          |Be*|14 48 44.5499575944 -66 35 36.822442200|5.14     |5.767    |5.880    |     ~   |     ~   |B2V                  |  77 |   0
1111|* 14 Cyg                           |*  |19 39 26.4926212920 +42 49 05.741064084|5.10     |5.32     |5.40     |     ~   |     ~   |B9III                |  95 |   0
1112|* 7 Peg                            |V* |21 42 15.4512939768 +05 40 48.499632588|     ~   |6.935    |5.301    |     ~   |     ~   |M2III                |  45 |   1
1113|HD 133631                          |*  |15 07 25.9501614072 -49 05 18.988942560|     ~   |6.705    |5.766    |     ~   |     ~   |G8III                |  20 |   0
1114|* 13 Mon                           |sg*|06 32 54.2279021568 +07 19 58.690911432|4.30     |4.50     |4.50     |4.40     |4.36     |A0Ib                 | 206 |   1
1115|* H Sco                            |V* |16 36 22.4715031529 -35 15 19.193081688|     ~   |5.730    |4.156    |     ~   |     ~   |K5III                |  64 |   0
1116|HD 69994                           |PM*|08 20 20.9719290912 +20 44 51.796340124|     ~   |6.942    |5.798    |     ~   |     ~   |K1III                |  49 |   0
1117|* alf TrA                          |*  |16 48 39.89508 -69 01 39.7626          |     ~   |3.33     |1.88     |     ~   |     ~   |K2III_Ba1            | 248 |   0
1118|HD 162587A                         |SB*|17 53 23.465612 -34 53 42.54129        |     ~   |6.78     |5.73     |     ~   |     ~   |~                    |   0 |   0
1119|HD 109536                          |PM*|12 35 45.5318060064 -41 01 19.008243912|     ~   |5.342    |5.114    |     ~   |     ~   |A7V                  |  80 |   0
1120|HD 174237                          |Be*|18 46 43.0891606728 +52 59 16.654686648|5.06     |5.80     |5.90     |     ~   |     ~   |B3+F5III             | 208 |   0
1121|HD 125276                          |PM*|14 19 00.8956927577 -25 48 55.529829905|     ~   |6.36     |5.87     |     ~   |     ~   |F9VFe-1.5CH-0.7      | 111 |   0
1122|* 95 Cet A                         |PM*|03 18 22.426895 -00 55 49.04287        |     ~   |6.56     |5.48     |     ~   |     ~   |~                    |   4 |   0
1123|* kap02 CrA                        |*  |18 33 23.1312973056 -38 43 33.539236896|     ~   |5.51     |5.59     |     ~   |     ~   |B9V                  |  37 |   0
1124|* pi. Lup A                        |*  |15 05 07.087230 -47 03 04.54154        |     ~   |4.44     |4.58     |     ~   |     ~   |B5V                  |  73 |   0
1125|HD 130055                          |PM*|14 47 05.0967633360 -38 17 26.292004548|     ~   |7.266    |5.898    |     ~   |     ~   |K3III                |  13 |   0
1126|* 53 Psc                           |bC*|00 36 47.3110003896 +15 13 54.190332948|5.06     |5.714    |5.863    |     ~   |     ~   |B2.5IV               | 124 |   0
1127|* gam02 Oct                        |*  |23 57 32.8617477000 -82 10 11.309684052|     ~   |6.786    |5.724    |     ~   |     ~   |K0III                |  23 |   0
1128|HD 64235                           |** |07 52 47.8565103427 -05 25 41.289776254|     ~   |6.161    |5.765    |     ~   |     ~   |F5IV                 |  82 |   0
1129|* d UMa                            |RS*|09 34 28.8594727848 +69 49 49.226541888|5.67     |5.34     |4.57     |3.91     |3.50     |G5III-IV             | 310 |   0
1130|HD 81034                           |PM*|09 21 50.9868415440 -42 11 41.496827640|     ~   |7.170    |5.572    |     ~   |     ~   |M1III                |  30 |   0
1131|HD 25723                           |*  |04 04 22.7156192304 -12 47 32.268481764|     ~   |6.688    |5.611    |     ~   |     ~   |K1III                |  43 |   0
1132|HD 115723                          |*  |13 18 27.7273842840 +34 05 53.907694800|     ~   |7.14     |5.78     |     ~   |     ~   |K4III                |  33 |   0
1133|* E Cen                            |*  |12 08 14.7046343328 -48 41 33.041044536|5.29     |5.33     |5.34     |     ~   |     ~   |B9.5/A0V             |  70 |   0
1134|* 28 Mon                           |PM*|08 01 13.3349598572 -01 23 33.384853552|     ~   |6.147    |4.680    |     ~   |     ~   |K4III                |  82 |   1
1135|HD 162189                          |PM*|17 51 32.5316991288 -40 46 20.872921980|     ~   |7.476    |5.958    |     ~   |     ~   |M2III                |  22 |   0
1136|* tet Pav                          |PM*|18 48 37.9048429296 -65 04 39.648145224|     ~   |5.955    |5.701    |     ~   |     ~   |A8V                  |  39 |   0
1137|* tet Gru                          |** |23 06 52.73046 -43 31 13.2857          |     ~   |4.730    |4.332    |     ~   |     ~   |kF3VhF5mF5(II-III)   |  63 |   0
1138|* 82 Peg                           |dS*|23 52 37.1072044872 +10 56 50.232441948|5.560    |5.470    |5.300    |     ~   |     ~   |A4Vn                 |  90 |   0
1139|HD 60060                           |PM*|07 29 59.7226034784 -52 39 04.164546672|     ~   |6.876    |5.863    |     ~   |     ~   |K0III                |  33 |   0
1140|HD 76376                           |*  |08 55 12.4298734560 -18 14 28.289018508|     ~   |7.084    |5.741    |     ~   |     ~   |K2/3III              |  42 |   0
1141|* lam01 Phe                        |PM*|00 31 24.9810454848 -48 48 12.651311736|     ~   |4.79     |4.77     |     ~   |     ~   |A1Va                 |  66 |   0
1142|HD 54732                           |*  |07 07 13.2812635560 -51 58 05.785273560|     ~   |6.955    |5.952    |     ~   |     ~   |K0III                |  25 |   0
1143|* kap Ara                          |*  |17 26 00.0431284872 -50 38 00.623818572|     ~   |6.236    |5.193    |     ~   |     ~   |G8III                |  83 |   0
1144|* kap For                          |SB*|02 22 32.5904688744 -23 49 00.479863128|     ~   |5.802    |5.198    |     ~   |4.51     |G0V                  | 280 |   0
1145|* z Cen                            |Pu*|13 46 56.3517541416 -36 15 06.960051360|     ~   |5.137    |5.147    |     ~   |     ~   |A0V                  |  59 |   0
1146|HD 57608                           |*  |07 22 03.4786871760 +00 10 37.637998896|5.62     |5.897    |5.971    |     ~   |     ~   |B9II-III             |  47 |   0
1147|HD 199955A                         |*  |20 58 30.0335744445 +50 27 42.450709236|     ~   |5.82     |5.96     |     ~   |     ~   |B7IVn                |   2 |   0
1148|* i Vir                            |PM*|13 26 43.1665407240 -12 42 27.586456056|8.52     |6.77     |5.25     |     ~   |     ~   |K5III                |  78 |   0
1149|HD 140227                          |PM*|15 37 39.1284164424 +69 17 00.040060968|     ~   |7.011    |5.627    |     ~   |     ~   |M0III                |  36 |   0
1150|HD 21688                           |*  |03 29 36.0279981768 -12 40 29.048473740|     ~   |5.730    |5.576    |     ~   |     ~   |A9VnkA5mA5           |  52 |   0
1151|* eps Her                          |SB*|17 00 17.3733587483 +30 55 35.055213817|3.80     |3.91     |3.92     |3.93     |3.97     |A0V                  | 173 |   0
1152|* 17 Sex                           |Ae*|10 10 07.5399527923 -08 24 29.411812115|     ~   |5.911    |5.901    |     ~   |     ~   |A0V                  |  71 |   0
1153|* chi Car                          |bC*|07 56 46.7200933968 -52 58 56.443666728|2.64     |3.267    |3.431    |     ~   |     ~   |B3IV                 | 152 |   0
1154|* 57 Psc                           |LP*|00 46 32.9518499592 +15 28 31.832465664|8.79     |7.03     |5.38     |     ~   |     ~   |M4III                |  85 |   0
1155|V* V4089 Sgr                       |SB*|19 34 08.4856054632 -40 02 04.702519428|     ~   |6.00     |5.91     |     ~   |     ~   |A2V                  |  63 |   0
1156|* alf Sco B                        |Em*|16 29 24.20 -26 25 51.0                |     ~   |5.0      |5.2      |     ~   |     ~   |B2.5V                | 117 |   0
1157|HD 217484                          |PM*|23 01 19.3854442416 -28 51 14.260484664|     ~   |6.894    |5.542    |     ~   |     ~   |K3III                |  22 |   0
1158|* chi Pup                          |V* |07 57 40.1062661136 -30 20 04.456472208|5.10     |4.94     |4.79     |4.59     |4.44     |A7III                |  60 |   0
1159|* x01 Cen                          |*  |12 23 35.4195245064 -35 24 45.635998860|     ~   |5.242    |5.311    |     ~   |     ~   |B8/9V                |  40 |   0
1160|* 55 UMa                           |SB*|11 19 07.8861142632 +38 11 08.135935332|     ~   |4.90     |4.80     |     ~   |     ~   |A2V                  | 138 |   0
1161|HD 43318                           |PM*|06 15 34.2651318984 -00 30 43.880774652|     ~   |6.15     |5.65     |     ~   |     ~   |F5V                  | 193 |   0
1162|HD 40733                           |*  |05 58 37.5470521272 -44 02 04.417137240|     ~   |6.849    |5.802    |     ~   |     ~   |G8II                 |  19 |   0
1163|HD 158261                          |SB*|17 26 46.1453093400 +34 41 44.883897900|5.87     |5.93     |5.94     |     ~   |     ~   |A0V                  |  60 |   0
1164|* 9 Cyg                            |SB*|19 34 50.9283781560 +29 27 46.684035828|     ~   |5.96     |5.407    |     ~   |     ~   |G8III+A2III:         | 102 |   0
1165|* 80 Cet                           |PM*|02 36 00.0478570968 -07 49 53.745797496|     ~   |7.088    |5.535    |     ~   |     ~   |M0/1III              |  54 |   0
1166|M 14                               |GlC|17 37 36.15 -03 14 45.3                |     ~   |9.55     |5.73     |     ~   |     ~   |~                    | 406 |   0
1167|* 35 Lyn                           |*  |08 51 56.8306264656 +43 43 35.774404464|     ~   |6.119    |5.148    |     ~   |     ~   |K0III                |  82 |   0
1168|* zet02 Aqr                        |** |22 28 49.8888105229 -00 01 11.872738417|4.03     |4.79     |4.34     |3.27     |3.04     |F2V+                 | 122 |   0
1169|* mu. Psc                          |PM*|01 30 11.1150260499 +06 08 37.758162354|7.75     |6.22     |4.84     |3.78     |3.04     |K3III                | 189 |   0
1170|* 133 Tau                          |V* |05 47 42.9074397024 +13 53 58.545937968|4.46     |5.12     |5.29     |     ~   |     ~   |B2IV-V               |  95 |   0
1171|HD 210074                          |PM*|22 07 28.5927459576 +19 28 31.903027428|6.100    |6.050    |5.740    |     ~   |     ~   |F2V:                 |  50 |   0
1172|HD 40657                           |PM*|06 00 03.3496339392 -03 04 27.330496968|6.95     |5.74     |4.52     |3.59     |2.92     |K1.5III-IIIbCN-1     |  80 |   0
1173|HD 212330                          |SB*|22 24 56.3686693520 -57 47 50.841196599|6.09     |5.96     |5.31     |4.79     |4.40     |G2IV-V               | 147 |   0
1174|* tet UMi                          |V* |15 31 24.9136103328 +77 20 57.695859924|     ~   |6.535    |4.982    |     ~   |     ~   |K5-IIICN0.5          | 124 |   0
1175|* kap02 Boo                        |dS*|14 13 29.0076791664 +51 47 23.882850456|     ~   |4.70     |4.50     |     ~   |     ~   |A7IV                 | 162 |   0
1176|* h Boo                            |PM*|14 49 18.6703382808 +46 06 58.334410512|     ~   |6.223    |5.757    |     ~   |     ~   |F6IVs                |  83 |   0
1177|* 31 Com                           |Ro*|12 51 41.9201696640 +27 32 26.565016812|5.81     |5.61     |4.94     |4.39     |4.04     |G0IIIp               | 437 |   1
1178|HD 52556                           |*  |07 02 17.4939988560 +15 20 09.635363196|7.990    |6.900    |5.750    |     ~   |     ~   |K1III:               |  31 |   0
1179|* 115 Tau                          |** |05 27 10.0947879432 +17 57 43.960547556|     ~   |5.302    |5.404    |     ~   |     ~   |B5V                  | 131 |   0
1180|HD 42540                           |PM*|06 07 03.4067093808 -62 09 16.449639408|     ~   |6.294    |5.041    |     ~   |     ~   |K2/3III              |  33 |   0
1181|* rho Psc                          |V* |01 26 15.2623962744 +19 10 20.450614692|     ~   |5.718    |5.344    |     ~   |     ~   |F2V                  | 117 |   0
1182|* k Hya                            |PM*|14 23 05.7738751800 -27 45 14.462107776|7.59     |6.06     |4.75     |3.78     |3.11     |K4III                |  86 |   0
1183|HD 9353                            |** |01 33 25.7075838384 +58 19 38.449163964|     ~   |7.153    |5.709    |     ~   |     ~   |K3Ib-II+B7/8:        |  64 |   0
1184|HD 142139                          |PM*|15 56 05.9113323384 -60 28 56.944656660|5.89     |5.82     |5.76     |     ~   |     ~   |A1IV/V               |  49 |   0
1185|* g Per                            |*  |02 02 18.1084057296 +54 29 15.145135980|4.64     |4.96     |5.04     |5.01     |5.06     |B8III                | 105 |   0
1186|* 17 Crt B                         |PM*|11 32 16.0399546776 -29 15 47.899939428|     ~   |6.19     |5.671    |5.49     |     ~   |F8V                  |  45 |   0
1187|HD 124471                          |bC?|14 16 38.7150863616 -66 35 16.429048656|4.82     |5.69     |5.75     |     ~   |     ~   |B2III/IV             |  88 |   0
1188|* 19 UMi                           |Pu*|16 10 49.5244396608 +75 52 39.222532704|     ~   |5.370    |5.473    |     ~   |     ~   |B8V                  |  63 |   0
1189|* tet Dra                          |SB*|16 01 53.3449795946 +58 33 54.901935955|4.630    |4.520    |4.000    |3.56     |3.31     |F9V                  | 301 |   0
1190|* 44 Psc                           |** |00 25 24.2083631904 +01 56 22.892930016|     ~   |6.616    |5.770    |     ~   |     ~   |G8III                |  72 |   0
1191|* tau Oct                          |*  |23 28 03.7855199112 -87 28 55.966569888|     ~   |6.76     |5.49     |     ~   |     ~   |K2III                |  23 |   0
1192|* 14 Lyn                           |** |06 53 05.0484585 +59 26 54.751889      |     ~   |6.03     |5.38     |     ~   |     ~   |G8III                |  64 |   0
1193|* 35 Com                           |** |12 53 17.74703 +21 14 41.8092          |     ~   |5.80     |4.91     |     ~   |     ~   |G7III+F:             | 181 |   0
1194|HD 218630                          |** |23 09 57.3469968176 -42 51 40.470798976|     ~   |6.299    |5.830    |     ~   |     ~   |F5V                  |  57 |   0
1195|* bet Aps                          |PM*|16 43 04.6585772236 -77 31 02.759334193|     ~   |5.30     |4.24     |     ~   |     ~   |K0III                |  53 |   0
1196|* e Eri                            |PM*|03 19 55.6509122226 -43 04 11.215188426|5.20     |4.98     |4.27     |3.65     |3.25     |G6V                  | 476 |   1
1197|* 46 LMi                           |PM*|10 53 18.6891667765 +34 12 53.611679098|5.79     |4.87     |3.83     |3.00     |2.46     |K0+III-IV            | 242 |   0
1198|* mu. Lep                          |a2*|05 12 55.9029641016 -16 12 19.668599100|2.78     |3.18     |3.29     |3.30     |3.42     |B9IV:HgMn            | 292 |   1
1199|HD 21402                           |PM*|03 28 20.7005730600 +33 48 27.207327888|5.840    |5.770    |5.730    |     ~   |     ~   |A2V                  |  43 |   0
1200|HD 171961                          |*  |18 38 30.7143272304 -23 30 17.622731304|     ~   |5.753    |5.772    |     ~   |     ~   |B8III                |  47 |   0
1201|* eta Tel                          |PM*|19 22 51.2060774616 -54 25 26.145617376|     ~   |5.035    |5.020    |     ~   |4.99     |A0V                  | 223 |   0
1202|HD 210271                          |V* |22 09 55.7011258800 -34 00 53.877609036|     ~   |5.591    |5.371    |     ~   |     ~   |A5IV                 |  35 |   0
1203|* 24 Vul                           |*  |20 16 47.0862678744 +24 40 15.964773708|     ~   |6.248    |5.302    |     ~   |     ~   |G8III                |  94 |   0
1204|HD 163145                          |*  |17 56 47.4169480680 -44 20 31.986560220|     ~   |6.041    |4.849    |     ~   |     ~   |K2III                |  30 |   0
1205|[SC93] 343                         |*  |06 39 30.0 +13 07 00                   |     ~   |     ~   |5.97     |     ~   |     ~   |A2V                  |   1 |   0
1206|* bet Ari                          |SB*|01 54 38.41099 +20 48 28.9133          |2.88     |2.78     |2.65     |2.51     |2.43     |kA4hA5mA5Va          | 421 |   1
1207|HD 163376                          |V* |17 57 47.8025082499 -41 42 58.655766790|     ~   |6.503    |4.863    |     ~   |     ~   |M0III                |  52 |   0
1208|HD 23005                           |PM*|03 46 00.9400234704 +67 12 05.768204220|     ~   |6.122    |5.782    |     ~   |     ~   |F1IVnn               |  40 |   0
1209|* 32 Eri A                         |*  |03 54 17.5018067928 -02 57 17.039726676|     ~   |5.59     |4.70     |     ~   |     ~   |G6.5III              |  63 |   0
1210|* 27 Tau                           |SB*|03 49 09.7430578114 +24 03 12.301679809|3.18     |3.54     |3.63     |3.62     |3.68     |B8III                | 377 |   0
1211|* 47 Tau A                         |*  |04 13 56.3854450608 +09 15 49.767350436|     ~   |5.84     |4.95     |     ~   |     ~   |G3IIIFe-0.5          |   2 |   0
1212|* eta Sge                          |PM*|20 05 09.4929426624 +19 59 27.862887444|     ~   |6.139    |5.093    |     ~   |     ~   |K2III                |  96 |   0
1213|HD 55762                           |V* |07 13 24.0250266288 -22 40 27.269874372|     ~   |7.456    |5.960    |     ~   |     ~   |K4III                |  18 |   0
1214|* nu. Per                          |*  |03 45 11.6327358410 +42 34 42.709540671|4.50     |4.22     |3.80     |3.40     |3.13     |F4II                 | 133 |   0
1215|HD 89062                           |PM*|10 15 31.5589280592 -43 06 44.531371332|     ~   |7.086    |5.561    |     ~   |     ~   |K4III                |  16 |   0
1216|HD 59381                           |V* |07 29 22.1075281680 -10 19 36.000227748|     ~   |7.311    |5.706    |     ~   |     ~   |K4/5III              |  39 |   0
1217|HD 12953                           |sg*|02 08 40.5790963584 +58 25 24.970714608|6.28     |6.29     |5.68     |5.09     |4.59     |A1Ia                 | 196 |   0
1218|HD 79694                           |Pu*|09 14 08.2100812248 -44 08 44.952535428|5.23     |5.73     |5.85     |     ~   |     ~   |B7-8V                |  83 |   0
1219|* gam01 Sgr                        |cC*|18 05 01.2264355704 -29 34 48.322222356|5.99     |5.47     |4.69     |     ~   |3.869    |G0Ib/II              | 361 |   0
1220|* phi02 Cet                        |PM*|00 50 07.5889624710 -10 38 39.583852438|     ~   |5.69     |5.19     |     ~   |     ~   |F7V                  | 276 |   0
1221|* 13 Vir                           |*  |12 18 40.3174863528 -00 47 13.863547104|     ~   |6.049    |5.897    |     ~   |     ~   |A5IV/V               |  51 |   0
1222|HD 59026                           |*  |07 26 42.4656369864 -34 08 26.499461784|5.04     |5.730    |5.884    |     ~   |     ~   |B3/5V                |  46 |   0
1223|* 11 Sco                           |*  |16 07 36.4153307712 -12 44 43.464533568|     ~   |5.77     |5.77     |     ~   |     ~   |B9V                  |  61 |   0
1224|* zet01 Ret                        |PM*|03 17 46.1634549490 -62 34 31.152456644|6.24     |6.18     |5.54     |5.00     |4.66     |G2.5VHdel1           | 309 |   0
1225|HD 39004                           |*  |05 50 58.1101960824 +27 58 04.303141428|     ~   |6.553    |5.582    |     ~   |     ~   |G7III:               |  58 |   0
1226|* 14 Oph                           |PM*|16 41 42.4819345392 +01 10 52.431236076|     ~   |6.045    |5.724    |     ~   |     ~   |F2V                  |  69 |   0
1227|* 37 Tau                           |PM*|04 04 41.7128811713 +22 04 54.946823724|6.41     |5.44     |4.37     |3.58     |3.05     |K0III-IIIb           | 190 |   0
1228|* pi. Dra                          |*  |19 20 40.0914694319 +65 42 52.314729157|4.67     |4.61     |4.59     |4.55     |4.58     |A0III                | 101 |   0
1229|* bet Dra                          |*  |17 30 25.9616959 +52 18 04.999351      |4.43     |3.79     |2.81     |2.12     |1.64     |G2Ib-IIa             | 423 |   0
1230|HD 18262                           |PM*|02 56 13.7672430696 +08 22 53.623894908|     ~   |6.431    |5.963    |     ~   |     ~   |F6III-IVs            |  88 |   0
1231|* kap Col                          |PM*|06 16 33.1354849246 -35 08 25.854360482|6.20     |5.37     |4.37     |3.64     |3.13     |G9IIIbCN0.5          |  68 |   0
1232|* 120 Tau                          |Be*|05 33 31.6304227080 +18 32 24.827431848|4.94     |5.70     |5.69     |     ~   |     ~   |B2IV-Ve              | 152 |   0
1233|* y Pup                            |XB*|07 29 05.6951953008 -38 48 43.442359164|     ~   |5.243    |5.395    |     ~   |     ~   |B3V                  |  88 |   0
1234|* b03 Hya                          |PM*|10 53 29.5322257872 -20 08 19.426040232|     ~   |5.71     |5.24     |     ~   |     ~   |F6V                  | 116 |   0
1235|* del Cep                          |cC*|22 29 10.2626640314 +58 24 54.697613650|4.71     |4.35     |3.75     |     ~   |3.219    |F5Iab:+B7-8          | 750 |   0
1236|* omi Gru                          |PM*|23 26 36.5609994960 -52 43 17.679494676|     ~   |5.901    |5.522    |     ~   |     ~   |F4V                  |  71 |   0
1237|HD 179094                          |SB*|19 08 25.7885833200 +52 25 32.631746052|     ~   |6.982    |5.893    |     ~   |     ~   |K1IIIe               | 202 |   1
1238|* k Lup                            |*  |15 25 20.2130625384 -38 44 00.995041680|     ~   |4.60     |4.60     |     ~   |     ~   |A0V                  |  43 |   0
1239|HD 92095                           |PM*|10 39 05.6555964840 +53 40 05.878675740|     ~   |6.819    |5.537    |     ~   |     ~   |K3III                |  65 |   0
1240|* 15 Hya A                         |SB*|08 51 34.4098093088 -07 10 38.006941215|     ~   |5.86     |5.73     |     ~   |     ~   |~                    |   1 |   0
1241|* 7 Cep                            |*  |21 27 46.1418220704 +66 48 32.749138404|     ~   |5.299    |5.410    |     ~   |     ~   |B7V                  |  57 |   0
1242|* gam CMa                          |*  |07 03 45.4934693195 -15 37 59.833212992|3.52     |4.00     |4.12     |4.13     |4.23     |B8II                 | 188 |   0
1243|V* V448 Car                        |LP*|06 47 18.7083113184 -55 32 23.964004428|     ~   |7.19     |5.61     |     ~   |     ~   |K5III                |  30 |   0
1244|* bet Cas                          |dS*|00 09 10.68518 +59 08 59.2120          |2.73     |2.61     |2.27     |1.97     |1.77     |F2III                | 540 |   0
1245|* 47 Cet                           |*  |01 26 51.5647682880 -13 03 23.439954456|     ~   |5.808    |5.505    |     ~   |     ~   |F0.5V                |  87 |   0
1246|* 51 Aur                           |PM*|06 38 39.5367886320 +39 23 27.064036212|8.60     |7.04     |5.69     |     ~   |     ~   |K5III                |  61 |   0
1247|HD 34868                           |*  |05 19 23.6850219720 -27 22 07.984215876|     ~   |5.942    |5.972    |     ~   |     ~   |A0V                  |  55 |   0
1248|* 35 Com A                         |SB*|12 53 17.7583230432 +21 14 41.939516868|     ~   |6.06     |5.04     |     ~   |     ~   |G7III                |   7 |   0
1249|* eps Cen                          |bC*|13 39 53.25774 -53 27 59.0081          |1.16     |2.08     |2.30     |2.45     |2.70     |B1III                | 256 |   0
1250|* 93 Her                           |*  |18 00 03.4165173504 +16 45 03.304594368|7.15     |5.93     |4.67     |3.80     |3.21     |K0.5IIb              | 144 |   0
1251|* lam Psc                          |PM*|23 42 02.8053593984 +01 46 48.151697051|4.79     |4.72     |4.51     |4.33     |4.23     |A7V                  | 161 |   0
1252|* 4 Dra                            |SB*|12 30 06.6619965864 +69 12 03.974236920|8.38     |6.57     |4.95     |     ~   |     ~   |M3+IIIa              | 138 |   0
1253|HD 15144                           |a2*|02 26 00.3479612520 -15 20 28.495226652|6.06     |5.97     |5.83     |5.71     |5.67     |A3VpSrCrEu           | 184 |   0
1254|* gam Aqr                          |PM*|22 21 39.3715681296 -01 23 14.457098796|3.65     |3.791    |3.834    |     ~   |     ~   |A0V                  | 177 |   0
1255|HD 89353                           |pA*|10 18 07.5899342712 -28 59 31.195183524|     ~   |5.76     |5.53     |     ~   |     ~   |B9.5Ib/II            | 309 |   0
1256|* tet And                          |** |00 17 05.5023632446 +38 40 53.888625622|4.72     |4.67     |4.61     |4.53     |4.52     |A2V                  | 182 |   0
1257|* phi And A                        |*  |01 09 30.122064 +47 14 30.46772        |     ~   |4.54     |4.294    |     ~   |     ~   |~                    |   7 |   0
1258|HD 10550                           |V* |01 42 43.5115527552 -03 41 24.718341768|     ~   |6.366    |4.982    |     ~   |     ~   |K2/3IIICNII          |  65 |   0
1259|HD 28978                           |*  |04 34 08.2675220880 +05 34 07.035585024|     ~   |5.729    |5.678    |     ~   |     ~   |A2IV                 | 106 |   0
1260|* nu. Hor                          |PM*|02 49 01.4872939344 -62 48 23.479025760|     ~   |5.352    |5.253    |     ~   |     ~   |A2V                  |  78 |   0
1261|HD 214035                          |*  |22 32 16.2246408240 +76 13 35.187719268|5.740    |5.710    |5.700    |     ~   |     ~   |A2V                  |  42 |   0
1262|HD 19141                           |*  |03 02 55.8632391288 -46 58 30.098615844|     ~   |7.122    |5.799    |     ~   |     ~   |K2/3III              |  25 |   0
1263|HD 222806                          |PM*|23 44 40.8645856608 -78 47 29.186076228|     ~   |6.850    |5.738    |     ~   |     ~   |K1III                |  16 |   0
1264|* f Leo                            |PM*|09 43 33.2599629888 +29 58 28.115897556|     ~   |5.735    |5.621    |     ~   |     ~   |kA1hA2mA4            |  66 |   0
1265|* 42 LMi                           |*  |10 45 51.8946723264 +30 40 56.307458280|     ~   |5.299    |5.352    |     ~   |     ~   |A1Vn                 |  59 |   0
1266|HD 160018                          |*  |17 38 09.5046890088 -10 55 34.565735496|     ~   |6.950    |5.727    |     ~   |     ~   |K1III                |  13 |   0
1267|* tau09 Eri                        |a2*|03 59 55.4837679360 -24 00 58.377195468|4.11     |4.52     |4.66     |4.64     |4.77     |ApSi                 | 170 |   0
1268|* tet Oct                          |PM*|00 01 35.6994508763 -77 03 56.611267370|     ~   |6.049    |4.783    |     ~   |     ~   |K3III                |  47 |   0
1269|HD 42690                           |*  |06 11 51.8143365264 -06 33 01.020314772|4.07     |4.848    |5.040    |     ~   |     ~   |B2V                  | 105 |   0
1270|* omi Sgr                          |PM*|19 04 40.9820400284 -21 44 29.385451232|5.63     |4.77     |3.77     |3.05     |2.52     |G9IIIb               | 109 |   0
1271|* lam Hya                          |SB*|10 10 35.2885811545 -12 21 14.858923765|5.53     |4.61     |3.61     |2.84     |2.36     |K0IIIbCN0.5          | 210 |   0
1272|* kap Cap                          |PM*|21 42 39.5080810109 -18 51 58.755183216|     ~   |5.593    |4.726    |     ~   |     ~   |G8III                |  86 |   0
1273|* psi Leo                          |V* |09 43 43.9068253008 +14 01 18.131099484|8.93     |6.98     |5.35     |     ~   |     ~   |M2III                |  72 |   0
1274|HD 160928                          |** |17 44 42.0095149680 -42 43 45.550054236|     ~   |6.027    |5.871    |     ~   |     ~   |A3IVn                |  45 |   0
1275|* 78 UMa A                         |PM*|13 00 43.6778024832 +56 21 58.874452020|     ~   |5.39     |5.02     |     ~   |     ~   |~                    |  11 |   0
1276|HD 216174                          |PM*|22 49 46.3147714872 +55 54 09.996118956|     ~   |6.598    |5.439    |     ~   |     ~   |K1III                |  82 |   0
1277|* pi.01 Hyi                        |PM*|02 14 14.5408258488 -67 50 29.184613764|     ~   |7.093    |5.559    |     ~   |     ~   |M1-III               |  32 |   0
1278|* ome CMa                          |Be*|07 14 48.6540133346 -26 46 21.603204215|2.90     |3.64     |3.82     |3.80     |3.90     |B2.5Ve               | 365 |   0
1279|* nu. Oct                          |SB*|21 41 28.5420355132 -77 23 24.031541832|     ~   |4.745    |3.728    |5.46     |     ~   |K1III                | 126 |   1
1280|HD 148379                          |s*b|16 29 42.3277745448 -46 14 35.630932596|5.51     |5.95     |5.37     |4.85     |4.39     |B2Iab                | 186 |   0
1281|HD 41692                           |*  |06 06 38.7363839832 -04 11 37.808375208|4.71     |5.231    |5.362    |     ~   |     ~   |B4III                | 134 |   0
1282|* tet Her                          |V* |17 56 15.1809747319 +37 15 01.932000161|6.70     |5.23     |3.88     |2.98     |2.38     |K1IIaCN2             | 222 |   0
1283|* del Lib                          |SB*|15 00 58.3483018872 -08 31 08.210408772|4.82     |4.93     |4.93     |4.85     |4.84     |A0V                  | 299 |   0
1284|HD 360                             |HB*|00 08 17.5324307736 -08 49 26.801843988|     ~   |7.014    |5.980    |     ~   |     ~   |K1II                 |  50 |   0
